id,data_no,name,f1,f2,f3,f4,f5,f6,f7
1,'6P12',"①ｵｰﾀﾞｰ直入",f3,f5,f8,f9,f10,f11,f12
2,'6P13',"②ﾗﾍﾞﾙ有",f3,f5,f13,f14,f15,f16,f17
3,'6P13',"③統計（媒体統計、DM統計）",f3,f5,f18,f19,f20,f21,f22
4,'6PL3',"④統計（受注統計）",f3,f5,f23,f24,f25,f26,f27
5,'6PS4',"⑤進物先名簿(直入)",f3,f5,f28,f29,f30,f31,f32
6,'6PS5',"⑥進物先名簿(ﾗﾍﾞﾙ有)",f3,f5,f33,f34,f35,f36,f37
7,'6P28',"⑦返品",f3,f5,f38,f39,f40,f41,f42
8,'6P95',"⑧返品（請求情報）",f3,f5,f43,f39,f40,f41,f42
9,'6P95',"⑨入金（請求情報）",f3,f5,f49,f50,f51,f52,f53
10,'6P22',"⑩未材発解除（取消）",f3,f5,f55,f56,f57,f58,f59
11,'6P9B',"⑪請求日次",f3,f5,f60,f61,f62,f63,f64
12,'6P97',"⑫請求",f3,f5,f65,f66,f67,f68,f69
